state,county,fips,lat,longitude
MI,Ionia County,26067,42.94300079,85.07299805
MI,Iosco County,26069,44.33599854,83.59999847
MI,Iron County,26071,46.16899872,88.55599976
MI,Isabella County,26073,43.64199829,84.84899902
MI,Jackson County,26075,42.25,84.42500305
MI,Kalamazoo County,26077,42.24399948,85.53099823
MI,Kalkaska County,26079,44.68500137,85.08999634
MI,Kent County,26081,43.02899933,85.54799652
MI,Keweenaw County,26083,47.52099991,88.35600281
MI,Lake County,26085,43.99200058,85.80000305
MI,Lapeer County,26087,43.10400009,83.22200012
MI,Leelanau County,26089,45.13199997,85.89800262
MI,Lenawee County,26091,41.89500046,84.06400299
MI,Livingston County,26093,42.60499954,83.91000366
MI,Luce County,26095,46.50099945,85.54799652
MI,Mackinac County,26097,45.99700165,84.98699951
MI,Macomb County,26099,42.66799927,82.91300201
MI,Manistee County,26101,44.3409996,86.10399628
MI,Marquette County,26103,46.47299957,87.61699677
MI,Mason County,26105,43.99700165,86.23600006
MI,Mecosta County,26107,43.64199829,85.32499695
MI,Menominee County,26109,45.53900146,87.55400085
MI,Midland County,26111,43.64799881,84.38500214
MI,Missaukee County,26113,44.33599854,85.08999634
MI,Monroe County,26115,41.90599823,83.48000336
MI,Montcalm County,26117,43.29299927,85.1989975
MI,Montmorency County,26119,45.02899933,84.1269989
MI,Muskegon County,26121,43.29299927,86.1269989
MI,Newaygo County,26123,43.55599976,85.80000305
MI,Oakland County,26125,42.6570015,83.38300323
MI,Oceana County,26127,43.64199829,86.24700165
MI,Ogemaw County,26129,44.33599854,84.1269989
MI,Ontonagon County,26131,46.67900085,89.41000366
MI,Osceola County,26133,43.99200058,85.32499695
MI,Oscoda County,26135,44.67900085,84.1269989
MI,Otsego County,26137,45.02899933,84.60900116
MI,Ottawa County,26139,42.98300171,86.02999878
MI,Presque Isle County,26141,45.4129982,83.81800079
MI,Roscommon County,26143,44.33599854,84.60900116
MI,Saginaw County,26145,43.34999847,84.02999878
MI,St. Clair County,26147,42.92599869,82.7519989
MI,St. Joseph County,26149,41.91799927,85.52500153
MI,Sanilac County,26151,43.42499924,82.80999756
MI,Schoolcraft County,26153,46.12900162,86.24199677
MI,Shiawassee County,26155,42.95500183,84.14499664
MI,Tuscola County,26157,43.47600174,83.40599823
MI,Van Buren County,26159,42.24399948,86.06400299
MI,Washtenaw County,26161,42.25600052,83.83499908
MI,Wayne County,26163,42.23799896,83.21099854
MI,Wexford County,26165,44.3409996,85.57700348
MN,Aitkin County,27001,46.5929985,93.42700195
MN,Anoka County,27003,45.22399902,93.26599884
MN,Becker County,27005,46.93700027,95.6780014
MN,Beltrami County,27007,47.97399902,95.00800323
MN,Benton County,27009,45.68799973,94.01699829
MN,Big Stone County,27011,45.38399887,96.46900177
MN,Blue Earth County,27013,44.05500031,94.06800079
MN,Brown County,27015,44.30099869,94.73899841
MN,Carlton County,27017,46.5929985,92.6760025
MN,Carver County,27019,44.81100082,93.76499939
MN,Cass County,27021,46.86199951,94.27999878
MN,Chippewa County,27023,44.95399857,95.63800049
MN,Chisago County,27025,45.50999832,92.91699982
MN,Clay County,27027,46.89099884,96.50900269
MN,Clearwater County,27029,47.58399963,95.375
MN,Cook County,27031,47.82500076,91.02600098
MN,Cottonwood County,27033,44.02000046,95.16300201
MN,Crow Wing County,27035,46.47800064,94.05699921
MN,Dakota County,27037,44.67900085,93.03099823
MN,Dodge County,27039,44.02000046,92.85900116
MN,Douglas County,27041,45.93399811,95.45500183
MN,Faribault County,27043,43.67100143,93.94799805
MN,Fillmore County,27045,43.67100143,92.09200287
MN,Freeborn County,27047,43.67100143,93.34600067
MN,Goodhue County,27049,44.45600128,92.64199829
MN,Grant County,27051,45.93399811,96.01100159
MN,Hennepin County,27053,45.01699829,93.47200012
MN,Houston County,27055,43.67100143,91.47299957
MN,Hubbard County,27057,47.10900116,94.92199707
MN,Isanti County,27059,45.57300186,93.26599884
MN,Itasca County,27061,47.45800018,93.73600006
MN,Jackson County,27063,43.67699814,95.15100098
MN,Kanabec County,27065,45.94599915,93.28299713
MN,Kandiyohi County,27067,45.14899826,95.00800323
MN,Kittson County,27069,48.77000046,96.80699921
MN,Koochiching County,27071,48.27199936,93.75299835
MN,Lac qui Parle County,27073,45.03499985,96.09700012
MN,Lake County,27075,47.57300186,91.41000366
MN,Lake of the Woods County,27077,48.68399811,94.88800049
MN,Le Sueur County,27079,44.36999893,93.76999664
MN,Lincoln County,27081,44.41600037,96.26300049
MN,Lyon County,27083,44.40999985,95.84400177
MN,McLeod County,27085,44.84500122,94.25700378
MN,Mahnomen County,27087,47.32600021,95.80999756
MN,Marshall County,27089,48.35800171,96.3769989
MN,Martin County,27091,43.67699814,94.55000305
MN,Meeker County,27093,45.10900116,94.50900269
MN,Mille Lacs County,27095,45.90000153,93.6210022
